drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value,bliss,num_drugs,loewe
6.8243,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,14.865,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.016041468132179205,-0.015661000725443998,2.0,-0.28444415261865746
1.7065,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0069333,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.0206771951467342,-0.07887107060087273,2.0,
1.9731,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0136,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9421397662838571,-0.058960061563418154,2.0,-0.3010377004849015
2.2931,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.026666,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9137513228989023,-0.14007100081223856,2.0,-0.37712725885720694
2.7196,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.053332,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8394547975374933,-0.2595068767847727,2.0,-0.39356829341240485
3.1462,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.10666,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.6345146655267403,-0.2741293326920623,2.0,-0.30727444401378995
3.6793,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.20798,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.4986088090639178,-0.33067273983986256,2.0,-0.35075661874510433
4.3191,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.41058,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.4000560873001322,-0.34229657239231726,2.0,-0.4394285798046254
5.0121,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.81034,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.2836193611614778,-0.266819140681205,2.0,-0.4979689893134911
5.8649,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,1.604,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.12062569961526189,-0.1165280531704242,2.0,-0.41631892289951494
6.8243,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,3.1683,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.03385264525579244,-0.03289711966263728,2.0,-0.2714210779280979
1.7065,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.004,TMP,0.0,PHL,EC,norm_gr_1,1.0160204054935882,-0.06765056701940997,2.0,
1.9731,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0093333,TMP,0.0,PHL,EC,norm_gr_1,1.0070232772749088,-0.11436359170103472,2.0,
2.2931,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.022667,TMP,0.0,PHL,EC,norm_gr_1,0.8576306414651191,-0.07612152273445794,2.0,-0.21677123248801114
2.7196,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.053333,TMP,0.0,PHL,EC,norm_gr_1,0.7818932475523831,-0.19790357234717204,2.0,-0.29226076900300046
3.1462,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.128,TMP,0.0,PHL,EC,norm_gr_1,0.5062856346305251,-0.15188405733216415,2.0,-0.18737055471566919
3.6793,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.29332,TMP,0.0,PHL,EC,norm_gr_1,0.1191831367944067,0.03896916954863888,2.0,0.03705937515031458
4.3191,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.71995,TMP,0.0,PHL,EC,norm_gr_1,0.011769790256764173,0.037273536580836195,2.0,0.22809979600301938
5.0121,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,1.7597,TMP,0.0,PHL,EC,norm_gr_1,0.020032548176566717,-0.007428860826757205,2.0,0.07023968561978707
5.8649,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,4.2116,TMP,0.0,PHL,EC,norm_gr_1,0.019332058684293555,-0.016568798150823665,2.0,-0.054726290880858085
6.8243,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,10.096,TMP,0.0,PHL,EC,norm_gr_1,0.010577310295822028,-0.009997235183342243,2.0,-0.09314142495717616
1.7065,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,3.021,PHL,EC,norm_gr_1,0.7662530351894734,0.09839351223333492,2.0,-0.15277111479970532
1.9731,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,3.476,PHL,EC,norm_gr_1,0.7934615859021079,-0.013075454963338173,2.0,-0.23113294088907252
2.2931,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,4.0027,PHL,EC,norm_gr_1,0.7885028944820069,-0.13493925108080596,2.0,-0.2911171991976751
2.7196,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,4.6009,PHL,EC,norm_gr_1,0.6703499077641167,-0.19627177551309233,2.0,-0.29532761060850693
3.1462,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,5.3026,PHL,EC,norm_gr_1,0.6249758530982796,-0.3307471028883085,2.0,-0.33729171290747934
3.6793,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,6.0996,PHL,EC,norm_gr_1,0.3050953720923827,-0.16080832086332852,2.0,-0.2655139339031632
4.3191,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,7.0155,PHL,EC,norm_gr_1,0.2788657645927172,-0.22247380183589804,2.0,-0.31803651620251333
5.0121,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,8.0742,PHL,EC,norm_gr_1,0.018445022565919,0.0013023737992288627,2.0,-0.07911814511564579
5.8649,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,9.2991,PHL,EC,norm_gr_1,0.01315107006444778,-0.007137752174797616,2.0,-0.11078952743976281
6.8243,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,10.698,PHL,EC,norm_gr_1,1.247706102246987e-12,0.0017808978716228917,2.0,1.923182478420374
0.0,RIF,0.053999,TET,0.376,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9176846902841841,0.00466035583679858,2.0,-0.0898088402182217
0.0,RIF,0.084665,TET,0.58399,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.797391487523332,0.05385668314282366,2.0,9.820376271670358e-05
0.0,RIF,0.13333,TET,0.87997,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.6552033060944886,0.07914812052511222,2.0,0.010581408623270406
0.0,RIF,0.21332,TET,1.3599,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5785804312148288,-0.025229448560545653,2.0,-0.09769195036395535
0.0,RIF,0.33331,TET,2.1598,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.3732480055943418,-0.03222091432918334,2.0,-0.06832457196575915
0.0,RIF,0.51995,TET,3.3596,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.25833897427790964,-0.09152197034740958,2.0,-0.11528347918694049
0.0,RIF,0.8132,TET,5.1991,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.041096246445650846,0.023338438306365762,2.0,0.26099946310227673
0.0,RIF,1.293,TET,8.0778,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,5.377908131653877e-12,0.02002897889700376,2.0,6.22053550967749
0.0,RIF,2.0258,TET,12.475,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.8430495511008058e-11,0.005647303426543063,2.0,5.696064216618545
