BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
45,1,good,0.951032,22.222,23.0,13.81995,379914.48335,-0.58168,0.9971,0.99199,1.753,-1.04999
46,1,good,0.964748,55.54224,49.0,-237.57654,258702.76396,-24.4864,1.06987,0.97905,4.86667,-3.23539
47,1,good,0.82307,52.37115,41.0,-148.62816,228815.77582,-16.50618,1.07134,0.99941,2.61858,-1.65801
48,1,good,0.912272,46.80907,37.0,-35.13636,223279.00465,-8.49422,1.11733,1.00068,4.19402,-0.85701
49,1,good,0.961485,72.53347,50.0,-247.47485,245689.44544,-11.96476,0.97963,0.97139,0.52778,-2.35606
50,1,good,0.9732,51.57775,23.0,44.23985,420343.63432,-0.40248,1.00056,1.00002,1.4132,-0.6895
51,1,good,0.971607,62.44313,20.0,-56.7442,539578.04689,-8.60479,0.9919,0.98856,1.42794,-1.67996
52,1,good,0.987024,87.58198,24.0,-4.68356,520727.55521,-0.00406,0.9985,0.99815,0.69767,-0.58274
53,1,good,0.998012,44.48205,25.0,11.69414,418191.36744,-2.00863,1.00051,0.99885,1.81115,-1.22152
54,1,good,0.962404,106.44034,35.0,-476.97242,572752.83723,-32.86498,0.97407,0.9717,2.54828,-7.10755
55,1,good,0.860251,88.84554,53.0,-198.23172,427381.96467,-7.79826,0.98018,0.97338,1.26744,-2.76662
56,1,good,0.812436,21.72473,19.0,307.79195,381201.63179,0.1585,1.0658,1.04631,4.84643,-0.41288
57,1,good,0.98186,30.5134,24.0,169.02077,479014.75933,-0.15471,1.02885,1.0252,2.4726,-0.73935
58,1,good,0.735172,78.69244,43.0,-62.34724,428802.1151,-17.88213,1.17202,1.02813,5.64908,-1.55638
59,1,good,0.968051,17.77813,22.0,327.70636,228467.86637,-4.32657,1.15635,1.05335,6.98281,-0.11557
60,1,good,0.713226,42.81698,23.0,404.41192,179347.30093,-4.09793,1.35752,1.12083,8.93828,-0.07477
61,1,good,0.944899,55.08024,40.0,-3.12657,204167.39528,-8.45299,1.11533,1.03346,3.1578,-0.63025
62,1,good,0.971063,54.24667,42.0,-208.75378,148442.60204,-14.78607,0.9835,0.96152,0.76082,-1.67834
63,1,good,0.988057,38.23908,40.0,-61.14249,248908.81424,-5.76964,1.03317,0.99988,2.43661,-0.67609
64,1,good,0.929263,67.87529,52.0,-419.34286,294926.08114,-23.74059,0.98386,0.9707,1.07342,-4.3909
65,1,good,0.936637,69.92355,43.0,-27.36235,247747.89136,-7.51189,0.99948,0.99456,1.5164,-1.22976
